,raw_hz,peak_id,line_width,integral,file_path,raw_Al_concentration,raw_Li_concentration,raw_Na_concentration,degrees_celsius,Hz,Mat_Source,raw_mg,scan_count,nmr_element
32,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ct.ft,0.15,,3.0,120,2681,,,32,23Na
33,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ct.ft,0.15,,3.0,120,2681,,,32,23Na
34,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ct.ft,0.15,,3.0,120,2681,,,32,23Na
35,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft,0.15,,3.0,120,2681,,,32,23Na
36,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft,0.15,,3.0,120,2681,,,32,23Na
37,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft,0.15,,3.0,120,2681,,,32,23Na
38,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft,0.15,,3.0,120,2681,,,32,23Na
39,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2681Hz-120C-32ctF.ft,0.15,,3.0,120,2681,,,32,23Na
40,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft,0.15,,3.0,110,2691,,,32,23Na
41,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft,0.15,,3.0,110,2691,,,32,23Na
42,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft,0.15,,3.0,110,2691,,,32,23Na
43,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft,0.15,,3.0,110,2691,,,32,23Na
44,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ct.ft,0.15,,3.0,110,2691,,,32,23Na
45,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft,0.15,,3.0,110,2691,,,32,23Na
46,33361.0,2.0,9.391161016315266,3359571456.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft,0.15,,3.0,110,2691,,,32,23Na
47,33482.0,3.0,2.0,1584970.5,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft,0.15,,3.0,110,2691,,,32,23Na
48,33485.0,4.0,0.0,515050.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft,0.15,,3.0,110,2691,,,32,23Na
49,33489.0,5.0,1.0,1037729.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2691Hz-110C-32ctF.ft,0.15,,3.0,110,2691,,,32,23Na
50,33279.0,1.0,0.0,518551.0,0808G1-0p15M-AlOH3-3M-NaOH-D2O/23Na-5th-2700Hz-100C-32ct.ft,0.15,,3.0,100,2700,,,32,23Na
