# isotropic nmr Al shielding tensor 
#  0.0		2.5core       2.5core_na   4.0core    4.0core_na     6.0core       6.0core_na
  533.2672     525.1595       507.3995     525.7776   523.7924       536.9446       534.8397
  530.6842     531.0108       511.2290     529.8774   529.5085       541.7466       541.6076
  535.3639     525.2548       522.5461     537.4912   537.5514       538.8250       539.0648
  536.3120     520.1374       512.9630     531.6998   531.3057       532.5338       539.9241
  533.5319     525.5672       513.5566     533.8262   531.1076       540.1561       533.3737
  526.7268     528.0024       504.4962     524.1372   523.6150       534.0343       536.0473
  528.0731     526.1254       516.2704     529.9686   530.5283       538.0324       535.1468
  537.9531     527.3161       530.0475     535.0945   534.6118       535.4962       532.6837
  531.9734     525.7968       517.3578     529.7758   528.3842       532.7434       535.0925
  525.6490     529.0275       505.0780     529.9041   529.6904       535.3521       538.6870
  530.4069     534.0905       512.0123     537.1803   536.5777       538.8584       536.3607
  533.0469     533.9488       520.7028     534.1483   531.7506       536.6397       531.6312
  531.0366     531.9205       518.7402     526.2453   524.2643       533.0047       530.7583
  531.9198     529.2159       522.2107     530.3936   529.5557       532.5319       532.5702
  534.2022     523.1095       519.7437     538.9458   537.7934       533.2397       537.1169
  542.5312     525.6460       520.0913     535.3330   531.8002       537.6281       533.2634
  528.5540     535.4432       508.2858     534.9779   533.1232       533.0433       532.3521
  529.2196     531.3965       511.1341     529.9920   528.0428       532.2996       534.0989
  536.7461     522.3007       523.0197     532.4469   530.6663       533.5644       532.8469
  537.3403     525.8066       516.2982     530.6660   529.3828       532.8164       527.7801
  530.1791     527.8739       514.1033     528.1873   527.3201       529.0145       528.5231
  534.6254     528.0962       522.5677     536.5755   534.2708       530.7004       532.8628
  541.3964     528.8693       517.5149     537.7122   535.9723       534.4441       530.5135
  541.0624     526.0277       510.8720     528.9864   528.7325       531.0098       528.0324
  536.6416     518.2438       518.7062     533.4927   532.4901       527.7194       530.9258
  533.2824     527.0513       527.7472     539.1093   536.5831       531.6840       528.6768
  533.7189     536.6789       510.7561     533.0175   531.0385       528.7572       529.4497
  536.8453     530.4802       520.5814     533.5060   530.5964       531.4403       525.9407
  535.1441     525.3160       514.9108     531.9728   528.7020       526.5278       527.7540
  534.8546     524.8676       514.6160     539.7514   536.5043       529.8409       536.3054
  538.3268     522.4640       520.9932     534.9537   531.1213       536.8445       532.4379
  535.3246     522.1774       522.7993     524.9353   521.3927       532.3783       526.4840
  526.6545     531.6909       516.6661     533.2424   529.9266       526.7024       529.9562
  531.9874     528.1109       513.6218     539.7816   535.9926       530.3623       532.6335
  535.2595     517.2136       520.9028     533.1846   529.3718       533.4749       529.1354
  523.9482     520.4446       520.9615     529.5695   526.1152       530.4285       532.2949
  525.0091     532.9406       512.0285     534.1927   530.9910       533.2516       534.2646
  527.1035     530.1072       507.7402     524.7198   522.5716       534.0477       537.7734
  537.8049     528.3394       519.8565     536.0998   533.0803       538.2420       535.4742
  532.5465     539.4894       529.5209     533.7288   529.8814       535.7420       532.6930
  522.3225     537.5746       514.1779     531.9733   527.4779       533.1144       536.9149
  527.1752     524.3165       509.0393     532.4014   528.2202       538.2488       541.5625
  530.2089     522.9186       521.6940     531.2015   527.9285       543.7342       534.3369
  524.7594     529.3477       522.3752     531.2848   528.0253       536.6000       535.5549
  522.7237     524.5894       514.1489     529.7861   526.2690       529.3527       531.3765
  529.0765     521.6161       517.3904     531.7800   528.4815       532.6891       531.0360
  531.2028     528.2334       517.0941     540.6972   536.8580       535.4213       542.5995
  527.3114     532.5285       509.6999     533.3001   529.0684       531.1423       533.2107
  524.6761     530.7917       517.9096     521.5789   518.1262       532.6342       531.3047
  531.6468     526.0230       511.6577     524.6390   521.0844       542.6831       529.3600
  529.4125     525.9511       529.8771     532.3538   530.3664       534.8381       535.0664
  530.0683     535.5608       520.9086     544.9857   542.9758       532.2225       537.0425
  524.5033     539.0566       510.0146     532.6166   528.9771       529.4172       526.7683
  527.1079     527.3280       514.2188     525.7060   522.0839       534.7101       529.2005
  532.9116     519.8578       521.1772     537.4638   534.5138       536.8072       533.7608
  524.8603     523.8570       516.3193     535.4994   532.1957       529.1760       531.1739
  521.6687     528.0104       520.7191     526.1226   522.9054       526.5387       528.8590
  541.5758     529.4991       510.7183     541.6835   537.4583       530.0356       528.7103
  524.3644     534.3022       527.8418     535.0763   532.2951       534.3507       531.0416
  525.0543     536.0825       521.8060     545.1505   542.1384       534.1337       535.3883
  528.8086     526.6089       511.2384     535.7717   531.3154       529.9947       531.3065
  530.9935     522.2201       506.8994     535.4421   530.9667       531.6262       523.4817
  527.4239     533.1313       512.3548     524.5547   518.5376       527.5594       524.8799
  519.9798     539.7457       521.5094     525.1833   520.8897       527.6622       532.6695
  524.6362     532.1475       519.7414     531.2653   528.0457       531.8896       535.3530
  532.4561     529.5267       512.7334     534.1929   529.9257       535.4549       531.9494
  528.1186     532.4114       520.6069     534.3739   528.6279       530.8348       520.8453
  526.2218     527.6945       532.5575     531.6645   526.9926       523.2390       530.1629
  532.0414     525.1540       528.3856     530.1429   526.9832       525.1082       530.6786
  528.9084     535.9733       516.7091     528.5418   524.7514       531.7668       535.8397
  524.4783     539.5116       518.4875     530.8262   526.4033       534.6644       535.6889
  526.4698     527.0856       526.4139     539.9981   537.0950       532.7795       532.8755
  529.1750     526.6245       507.3519     537.6474   534.5083       521.2666       534.0973
  532.7087     537.3040       531.0612     533.5396   531.0662       530.5702       532.2104
  533.1691     534.4731       526.3481     519.1171   516.4030       530.5662       530.4577
  532.4053     527.9764       517.2953     527.7258   524.0546       534.5344       533.8594
  532.2864     532.3584       514.2373     545.8012   542.2764       537.6062       541.2039
  530.2948     531.8687       517.4667     537.6264   534.6788       533.8698       533.6647
  532.5723     523.4794       523.3692     525.6471   523.0257       534.0881       541.0922
  538.6344     527.0596       523.9716     530.5396   527.4690       533.2937       537.0614
  541.9077     537.5421       514.8587     534.3705   530.7663       530.7766       535.0908
  539.6376     531.5307       516.0176     530.8619   526.4472       533.4801       532.4716
  535.6968     524.7809       527.2602     531.4136   527.2119       541.7590       529.0317
  534.7046     530.3562       513.0656     531.0250   528.7996       534.8172       528.0827
  530.3687     536.5060       524.2743     531.9356   527.9663       541.5693       535.6006
  537.6591     530.0962       509.1663     531.6565   527.1971       536.9116       543.0290
  542.1044     524.8641       509.3558     536.8011   531.0364       534.9504       535.6873
  529.8183     528.8011       527.4246     535.5718   530.7795       533.5919       523.0198
  523.1552     535.4730       525.6484     527.3927   524.1409       529.7647       545.4393
  536.7485     532.9632       507.9965     524.6066   521.5339       527.3440       527.5878
  542.4761     522.7776       510.0258     532.1674   528.5287       534.4773       541.6047
  533.5372     526.5982       523.4957     533.7653   530.6683       542.9337       542.8352
  533.9975     536.1202       517.3433     534.8202   532.2184       535.7586       536.9374
  542.5312     527.1650       512.2686     534.2444   530.8035       522.4328       532.3949
  535.7977     519.4025       509.8194     527.7692   524.1756       546.0030       532.4717
  532.6561     531.6973       520.0034     526.4431   522.6833       526.3788       539.4543
  520.0721     544.7722       522.5782     528.6637   524.5953       540.7743       536.4539
  534.2597     532.4261       513.0701     541.9830   537.7617       542.1490       528.3815
  544.3835     521.7328       511.9610     540.0931   535.5075       535.0444       536.3394
  527.6157     528.3176       517.6760     524.3494   520.1978       530.8248       533.2813
  525.2206     536.0863       521.9489     525.7574   522.0673       531.8700       541.9329
  538.1804     534.4282       523.6173     540.2198   537.1279       539.6105       524.6386
  535.7008     537.7851       511.4161     538.7274   535.9640       536.7970       541.5905
  529.3168     534.5502       508.8185     528.7542   525.3830       528.8421       542.8323
  535.9098     523.2974       520.4180     529.7492   525.2561       536.6341       531.3947
